source,time,value,unit
Noah’s Apple Watch,0,74.0,count/min
Noah’s Apple Watch,3,77.0,count/min
Noah’s Apple Watch,18,72.0,count/min
Noah’s Apple Watch,21,78.0,count/min
Noah’s Apple Watch,28,92.0,count/min
Noah’s Apple Watch,32,84.0,count/min
Noah’s Apple Watch,34,71.0,count/min
Noah’s Apple Watch,40,82.0,count/min
Noah’s Apple Watch,46,67.0,count/min
Noah’s Apple Watch,51,77.0,count/min
Noah’s Apple Watch,60,75.0,count/min
Noah’s Apple Watch,65,73.0,count/min
Noah’s Apple Watch,71,71.0,count/min
Noah’s Apple Watch,77,75.0,count/min
Noah’s Apple Watch,80,82.0,count/min
Noah’s Apple Watch,85,86.0,count/min
Noah’s Apple Watch,93,84.78620000000001,count/min
Noah’s Apple Watch,98,84.0,count/min
Noah’s Apple Watch,103,78.0,count/min
Noah’s Apple Watch,108,87.0,count/min
Noah’s Apple Watch,110,86.0,count/min
Noah’s Apple Watch,114,81.0,count/min
Noah’s Apple Watch,123,75.0,count/min
Noah’s Apple Watch,124,78.0,count/min
Noah’s Apple Watch,133,79.0,count/min
Noah’s Apple Watch,136,79.0,count/min
Noah’s Apple Watch,141,75.0,count/min
Noah’s Apple Watch,152,89.0,count/min
Noah’s Apple Watch,154,97.7444,count/min
Noah’s Apple Watch,159,103.66666666666667,count/min
Noah’s Apple Watch,160,108.25,count/min
Noah’s Apple Watch,161,113.66666666666667,count/min
Noah’s Apple Watch,162,119.58333333333333,count/min
Noah’s Apple Watch,163,103.0,count/min
Noah’s Apple Watch,168,93.0,count/min
Noah’s Apple Watch,170,87.0,count/min
Noah’s Apple Watch,174,84.0,count/min
Noah’s Apple Watch,181,96.0,count/min
Noah’s Apple Watch,188,87.0,count/min
Noah’s Apple Watch,192,89.0,count/min
Noah’s Apple Watch,198,81.0,count/min
Noah’s Apple Watch,201,85.0,count/min
Noah’s Apple Watch,207,79.0,count/min
Noah’s Apple Watch,210,83.0,count/min
Noah’s Apple Watch,217,89.0,count/min
Noah’s Apple Watch,222,87.0,count/min
Noah’s Apple Watch,226,80.0,count/min
Noah’s Apple Watch,232,79.0,count/min
Noah’s Apple Watch,234,89.0,count/min
Noah’s Apple Watch,243,84.0,count/min
Noah’s Apple Watch,246,73.0,count/min
Noah’s Apple Watch,248,78.0,count/min
