source,time,value,unit
Noah’s Apple Watch,0,13.115384615384615,count/min
Noah’s Apple Watch,1,13.362068965517242,count/min
Noah’s Apple Watch,2,12.813953488372093,count/min
Noah’s Apple Watch,3,18.166666666666668,count/min
Noah’s Apple Watch,5,13.763157894736842,count/min
Noah’s Apple Watch,6,12.602564102564102,count/min
Noah’s Apple Watch,8,16.0,count/min
Noah’s Apple Watch,9,13.4,count/min
Noah’s Apple Watch,10,12.7875,count/min
Noah’s Apple Watch,11,12.556818181818182,count/min
Noah’s Apple Watch,12,11.954545454545455,count/min
Noah’s Apple Watch,13,12.5,count/min
Noah’s Apple Watch,15,11.5,count/min
Noah’s Apple Watch,16,12.013513513513514,count/min
Noah’s Apple Watch,17,12.4625,count/min
Noah’s Apple Watch,18,16.666666666666668,count/min
Noah’s Apple Watch,19,12.036585365853659,count/min
Noah’s Apple Watch,22,19.0,count/min
Noah’s Apple Watch,23,12.282051282051283,count/min
Noah’s Apple Watch,24,12.197368421052632,count/min
Noah’s Apple Watch,25,14.5,count/min
Noah’s Apple Watch,27,12.178571428571429,count/min
Noah’s Apple Watch,32,18.25,count/min
Noah’s Apple Watch,33,18.75,count/min
Noah’s Apple Watch,37,15.5,count/min
Noah’s Apple Watch,38,24.666666666666668,count/min
Noah’s Apple Watch,39,12.402173913043478,count/min
Noah’s Apple Watch,44,12.170454545454545,count/min
Noah’s Apple Watch,45,13.112903225806452,count/min
Noah’s Apple Watch,46,16.083333333333332,count/min
Noah’s Apple Watch,47,15.875,count/min
Noah’s Apple Watch,52,13.153061224489797,count/min
Noah’s Apple Watch,53,14.112068965517242,count/min
Noah’s Apple Watch,54,13.470588235294118,count/min
Noah’s Apple Watch,55,12.885416666666666,count/min
Noah’s Apple Watch,61,17.375,count/min
Noah’s Apple Watch,62,13.214285714285714,count/min
Noah’s Apple Watch,65,12.602564102564102,count/min
Noah’s Apple Watch,66,18.5,count/min
Noah’s Apple Watch,67,14.25,count/min
Noah’s Apple Watch,68,12.25609756097561,count/min
Noah’s Apple Watch,72,12.695652173913043,count/min
Noah’s Apple Watch,73,12.477777777777778,count/min
Noah’s Apple Watch,74,16.5,count/min
Noah’s Apple Watch,75,17.416666666666668,count/min
Noah’s Apple Watch,76,17.0,count/min
Noah’s Apple Watch,78,14.375,count/min
