end,value
2021-09-03 07:10:00-04:00,-2
2021-09-06 07:30:35-04:00,-2
2021-09-08 07:30:21-04:00,-2
2021-09-10 07:30:21-04:00,-2
2021-09-13 07:30:25-04:00,-2
2023-07-08 00:28:40-04:00,-2
2023-07-08 01:08:39-04:00,-2
2023-07-08 02:39:00-04:00,-2
2023-07-08 02:39:57-04:00,-2
2023-07-08 02:41:17-04:00,-2
2023-07-08 02:45:44-04:00,-2
2023-07-08 02:49:06-04:00,-2
2023-07-08 02:57:33-04:00,-2
2023-07-08 07:31:06-04:00,0
2023-07-08 07:43:36-04:00,0
2023-07-08 07:58:06-04:00,0
2023-07-08 08:00:13-04:00,-2
2023-07-09 00:36:07-04:00,-2
2023-07-09 02:19:05-04:00,-2
2023-07-09 02:19:25-04:00,-2
2023-07-09 02:20:53-04:00,-2
2023-07-09 02:22:22-04:00,-2
2023-07-09 04:56:57-04:00,0
2023-07-09 05:06:57-04:00,0
2023-07-09 05:16:27-04:00,0
2023-07-09 07:57:57-04:00,0
2023-07-09 08:56:57-04:00,0
2023-07-09 09:00:09-04:00,-2
2023-07-09 23:55:35-04:00,-2
2023-07-10 00:12:53-04:00,-2
2023-07-10 00:14:49-04:00,-2
2023-07-10 00:19:32-04:00,-2
2023-07-10 00:29:29-04:00,-2
2023-07-10 00:34:54-04:00,-2
2023-07-10 00:41:04-04:00,-2
2023-07-10 00:42:29-04:00,-2
2023-07-10 00:48:25-04:00,-2
2023-07-10 00:50:20-04:00,-2
2023-07-10 01:10:29-04:00,-2
2023-07-10 01:44:31-04:00,-2
2023-07-10 01:48:12-04:00,-2
2023-07-10 01:50:54-04:00,-2
2023-07-10 01:52:21-04:00,-2
2023-07-10 01:58:01-04:00,-2
2023-07-10 02:24:14-04:00,-2
2023-07-10 07:26:05-04:00,-2
2023-07-10 07:30:19-04:00,-2
2023-07-11 00:06:27-04:00,-2
2023-07-11 00:16:20-04:00,-2
2023-07-11 00:27:49-04:00,-2
2023-07-11 01:12:28-04:00,-2
2023-07-11 01:13:37-04:00,-2
2023-07-11 07:11:12-04:00,-2
2023-07-11 07:29:01-04:00,-2
2023-07-12 00:03:44-04:00,-2
2023-07-12 00:05:11-04:00,-2
2023-07-12 00:09:57-04:00,-2
2023-07-12 00:12:52-04:00,-2
2023-07-12 00:15:13-04:00,-2
2023-07-12 00:17:27-04:00,-2
2023-07-12 00:18:47-04:00,-2
2023-07-12 00:20:17-04:00,-2
2023-07-12 01:11:58-04:00,-2
2023-07-12 01:18:58-04:00,-2
2023-07-12 01:23:01-04:00,-2
2023-07-12 01:23:26-04:00,-2
2023-07-12 01:46:00-04:00,-2
2023-07-12 06:02:39-04:00,0
2023-07-12 07:11:09-04:00,0
2023-07-12 07:42:07-04:00,-2
2023-07-12 23:08:24-04:00,-2
2023-07-12 23:13:35-04:00,-2
2023-07-12 23:14:01-04:00,-2
