start,end,textvalue,value
2023-07-07 23:30:52 -0400,2023-07-08 00:28:40 -0400,InBed,0
2023-07-08 00:29:16 -0400,2023-07-08 01:08:39 -0400,InBed,0
2023-07-08 01:08:41 -0400,2023-07-08 02:39:00 -0400,InBed,0
2023-07-08 02:39:51 -0400,2023-07-08 02:39:57 -0400,InBed,0
2023-07-08 02:39:58 -0400,2023-07-08 02:41:17 -0400,InBed,0
2023-07-08 02:42:14 -0400,2023-07-08 02:45:44 -0400,InBed,0
2023-07-08 02:46:12 -0400,2023-07-08 02:49:06 -0400,InBed,0
2023-07-08 02:50:11 -0400,2023-07-08 02:57:33 -0400,InBed,0
2023-07-08 03:18:36 -0400,2023-07-08 07:31:06 -0400,AsleepUnspecified,1
2023-07-08 07:39:36 -0400,2023-07-08 07:43:36 -0400,AsleepUnspecified,1
2023-07-08 07:45:06 -0400,2023-07-08 07:58:06 -0400,AsleepUnspecified,1
2023-07-08 02:58:52 -0400,2023-07-08 08:00:13 -0400,InBed,0
2023-07-08 23:16:09 -0400,2023-07-09 00:36:07 -0400,InBed,0
2023-07-09 01:08:17 -0400,2023-07-09 02:19:05 -0400,InBed,0
2023-07-09 02:19:18 -0400,2023-07-09 02:19:25 -0400,InBed,0
2023-07-09 02:19:56 -0400,2023-07-09 02:20:53 -0400,InBed,0
2023-07-09 02:22:21 -0400,2023-07-09 02:22:22 -0400,InBed,0
2023-07-09 02:37:27 -0400,2023-07-09 04:56:57 -0400,AsleepUnspecified,1
2023-07-09 05:05:27 -0400,2023-07-09 05:06:57 -0400,AsleepUnspecified,1
2023-07-09 05:08:57 -0400,2023-07-09 05:16:27 -0400,AsleepUnspecified,1
2023-07-09 05:21:57 -0400,2023-07-09 07:57:57 -0400,AsleepUnspecified,1
2023-07-09 08:00:57 -0400,2023-07-09 08:56:57 -0400,AsleepUnspecified,1
2023-07-09 02:32:02 -0400,2023-07-09 09:00:09 -0400,InBed,0
2023-07-09 23:54:11 -0400,2023-07-09 23:55:35 -0400,InBed,0
